last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
1063062.25,60.2,2,2.77149889685604,1.0,31.8,13,False,False,False,12.1,0,22041.0,17369.0
1500000.25,25.0,1,3.0,5.0,10.989300215660132,5,False,False,False,5.594036942586316,0,25169.0,3871.0
662500.0,30.0,1,2.55,5.0,18.0,4,False,False,False,5.5,1,47773.0,51198.0
1325000.0,35.0,1,2.77149889685604,25.0,15.4,23,False,False,False,9.3,0,9354.0,13149.0
1225000.0,47.0,2,2.5,9.0,30.0,9,False,False,False,8.6,1,14798.0,13339.0
1362500.0,54.0,2,2.77149889685604,22.0,29.0,11,False,False,False,10.0,0,17730.0,16527.0
3257500.0,130.3,6,2.77149889685604,5.0,93.0,2,False,False,False,10.3,0,17815.0,7121.0
1187500.0,45.0,2,2.5,12.0,14.0,8,False,False,False,20.0,0,-1.0,-1.0
3937500.0,214.0,4,2.77149889685604,17.0,159.2,17,False,False,False,40.0,0,56588.0,33517.0
923750.0,43.0,2,2.77149889685604,5.0,27.1,1,False,False,False,5.1,0,17757.0,17665.0
1037500.0,50.0,2,2.77149889685604,9.0,30.0,9,False,False,False,7.0,1,13247.0,15838.0
6200000.0,231.2,6,3.1,5.0,99.8,4,False,False,False,27.4,0,21480.0,2453.0
2125000.0,128.3,6,2.77149889685604,9.0,81.9,2,False,False,False,8.4,1,-1.0,-1.0
4550000.0,95.5,3,3.4,5.0,58.0,4,False,False,False,9.0,0,21951.0,1365.0
6750000.0,173.6,5,3.3,5.0,125.5,4,False,False,False,15.0,1,21776.0,399.0
1075000.0,42.4,1,2.65,10.0,18.7,1,False,False,False,10.8,2,15918.0,17020.0
1675000.0,60.0,3,2.77149889685604,17.0,33.745269074029295,15,False,False,False,8.5,0,17802.0,17710.0
1500000.0,42.0,1,3.0,24.0,28.0,4,False,False,False,10.0,0,27893.0,12416.0
525000.0,48.0,2,2.77149889685604,5.0,30.0,4,False,False,False,9.0,0,-1.0,-1.0
242500.0,44.1,2,2.77149889685604,5.0,30.1,4,False,False,False,4.5,0,-1.0,-1.0
3287500.0,82.15,3,2.77149889685604,16.0,46.3,13,False,False,False,13.2,0,19499.0,4844.0
